!SIL 1.0	SIL
A 1.0	A
ABAra 1.0	A B A r a
AE 1.0	A E
AI 1.0	A I
AKarI 1.0	A K a r I
AKirI 1.0	A K i r I
AKrI 1.0	A K r I
AMKe 1.0	A M K e
AMXra 1.0	A M X r a
AMXrapraxeSa 1.0	A M X r a p r a x e S a
AMkI 1.0	A M k I
AMxolana 1.0	A M x o l a n a
APIsara 1.0	A P I s a r a
APaxA 1.0	A P a x A
ARriwo 1.0	A R r i w o
ASA 1.0	A S A
ASAxa 1.0	A S A x a
ASIRa 1.0	A S I R a
ASaMkA 1.0	A S a M k A
ASaMkAye 1.0	A S a M k A y e
ASavAsana 1.0	A S a v A s a n a
AScarya 1.0	A S c a r y a
ASrama 1.0	A S r a m a
ATa 1.0	A T a
AUta 1.0	A U t a
AWavADa 1.0	A W a v A D a
AXAra 1.0	A X A r a
AXAriwa 1.0	A X A r i w a
AXI 1.0	A X I
AXe 1.0	A X e
AXunika 1.0	A X u n i k a
AXyAwmika 1.0	A X y A w m i k a
AXyAya 1.0	A X y A y a
AXyOgika 1.0	A X y O g i k a
AbAxI 1.0	A b A x I
Aba 1.0	A b a
AcAryA 1.0	A c A r y A
AcArya 1.0	A c A r y a
AdvANI 1.0	A d v A N I
Ae 1.0	A e
Aez 1.0	A e z
AgAha 1.0	A g A h a
AgAmI 1.0	A g A m I
Aga 1.0	A g a
AgarA 1.0	A g a r A
Age 1.0	A g e
Agraha 1.0	A g r a h a
AgvAnI 1.0	A g v A n I
AhUwi 1.0	A h U w i
Ahe 1.0	A h e
AjFA 1.0	A j F A
AjZAxa 1.0	A j Z A x a
AjZmI 1.0	A j Z m I
Aja 1.0	A j a
Ajakala 1.0	A j a k a l a
AkASa 1.0	A k A S a
AkASvANI 1.0	A k A S v A N I
AkAra 1.0	A k A r a
AkarRaNa 1.0	A k a r R a N a
AkarRiwa 1.0	A k a r R i w a
AkramaNa 1.0	A k r a m a N a
Ala 1.0	A l a
Alocaka 1.0	A l o c a k a
AlocanA 1.0	A l o c a n A
AlocnA 1.0	A l o c n A
Ama 1.0	A m a
AmaxanI 1.0	A m a x a n I
AnaMxa 1.0	A n a M x a
Anana 1.0	A n a n a
Ananxa 1.0	A n a n x a
Ane 1.0	A n e
Anxolana 1.0	A n x o l a n a
ApUrwI 1.0	A p U r w I
Apa 1.0	A p a
ApakA 1.0	A p a k A
ApakI 1.0	A p a k I
Apake 1.0	A p a k e
Apako 1.0	A p a k o
Apana 1.0	A p a n a
Apane 1.0	A p a n e
ApareSana 1.0	A p a r e S a n a
ApasI 1.0	A p a s I
Apasa 1.0	A p a s a
Apase 1.0	A p a s e
ApawwI 1.0	A p a w w I
ApawwyoM 1.0	A p a w w y o M
ApsI 1.0	A p s I
ArWIka 1.0	A r W I k a
ArWika 1.0	A r W i k a
Ara 1.0	A r a
AraMBa 1.0	A r a M B a
AraMbika 1.0	A r a M b i k a
AramBa 1.0	A r a m B a
Arawa 1.0	A r a w a
ArmI 1.0	A r m I
Aropa 1.0	A r o p a
Aropo 1.0	A r o p o
AropoM 1.0	A r o p o M
Arya 1.0	A r y a
AsAnI 1.0	A s A n I
AsAna 1.0	A s A n a
AsAra 1.0	A s A r a
Asa 1.0	A s a
Asana 1.0	A s a n a
AsapAsa 1.0	A s a p A s a
Ase 1.0	A s e
AspAsa 1.0	A s p A s a
AstreliyA 1.0	A s t r e l i y A
AvAjZe 1.0	A v A j Z e
AvAja 1.0	A v A j a
AvAsIya 1.0	A v A s I y a
AvAsa 1.0	A v A s a
AvSakwA 1.0	A v S a k w A
AvaSakwAoM 1.0	A v a S a k w A o M
AvaSyaka 1.0	A v a S y a k a
AvaSyakawA 1.0	A v a S y a k a w A
AvaSyakwA 1.0	A v a S y a k w A
AvarIwa 1.0	A v a r I w a
AviRkAra 1.0	A v i R k A r a
Avinava 1.0	A v i n a v a
AwA 1.0	A w A
AwI 1.0	A w I
Awa 1.0	A w a
AwaMka 1.0	A w a M k a
AwaMkavAxI 1.0	A w a M k a v A x I
AwaMkavAxIyo 1.0	A w a M k a v A x I y o
AwaMkavAxa 1.0	A w a M k a v A x a
AwaMkavAxiyoM 1.0	A w a M k a v A x i y o M
AwaMkvAxI 1.0	A w a M k v A x I
AwaMkvAxa 1.0	A w a M k v A x a
Awe 1.0	A w e
AwmakaWA 1.0	A w m a k a W A
AxA 1.0	A x A
AxamI 1.0	A x a m I
AxarSa 1.0	A x a r S a
Axara 1.0	A x a r a
AxeSa 1.0	A x e S a
Axi 1.0	A x i
AxyOgIka 1.0	A x y O g I k a
AyA 1.0	A y A
AyAwa 1.0	A y A w a
AyAxa 1.0	A y A x a
Ayakara 1.0	A y a k a r a
Ayasu 1.0	A y a s u
Aye 1.0	A y e
AyegA 1.0	A y e g A
AyegI 1.0	A y e g I
Ayege 1.0	A y e g e
Ayoga 1.0	A y o g a
AyojIwa 1.0	A y o j I w a
Ayojana 1.0	A y o j a n a
Ayojiwa 1.0	A y o j i w a
Ayukwa 1.0	A y u k w a
Ayurvexa 1.0	A y u r v e x a
AzKa 1.0	A z K a
AzjAra 1.0	A z j A r a
BAI 1.0	B A I
BARA 1.0	B A R A
BARAeM 1.0	B A R A e M
BARAez 1.0	B A R A e z
BARAoM 1.0	B A R A o M
BARAparivAra 1.0	B A R A p a r i v A r a
BAdZe 1.0	B A d Z e
BAe 1.0	B A e
BAgIxArI 1.0	B A g I x A r I
BAga 1.0	B A g a
BAgnA 1.0	B A g n A
BAgne 1.0	B A g n e
BAgo 1.0	B A g o
BAgoM 1.0	B A g o M
BAjapA 1.0	B A j a p A
BAjpA 1.0	B A j p A
BAkdA 1.0	B A k d A
BArI 1.0	B A r I
BAra 1.0	B A r a
BArawIya 1.0	B A r a w I y a
BArawa 1.0	B A r a w a
BArawavarRa 1.0	B A r a w a v a r R a
BAraweMxu 1.0	B A r a w e M x u
BArwI 1.0	B A r w I
BArwIya 1.0	B A r w I y a
BAvBInIM 1.0	B A v B I n I M
BAva 1.0	B A v a
BAvanA 1.0	B A v a n A
BAvpUrvaka 1.0	B A v p U r v a k a
BAvuka 1.0	B A v u k a
BI 1.0	B I
BIKA 1.0	B I K A
BIRaNa 1.0	B I R a N a
BIRma 1.0	B I R m a
BIma 1.0	B I m a
BIwarI 1.0	B I w a r I
BIwara 1.0	B I w a r a
BIwrI 1.0	B I w r I
